time,open,high,low,close,K,D
2014-10-31T09:30:00-04:00,20.42,20.42,20.38,20.38,NaN,NaN
2014-11-03T09:30:00-05:00,20.49,20.49,20.35,20.38,NaN,NaN
2014-11-04T09:30:00-05:00,20.2,20.27,20.2,20.26,NaN,NaN
2014-11-05T09:30:00-05:00,20.51,20.51,20,20,NaN,NaN
2014-11-06T09:30:00-05:00,20.09,20.14,20.07,20.14,NaN,NaN
2014-11-07T09:30:00-05:00,20.15,20.15,20.08,20.12,NaN,NaN
2014-11-10T09:30:00-05:00,20.16,20.3,20.16,20.3,NaN,NaN
2014-11-11T09:30:00-05:00,20.69,20.69,20.2337,20.29,NaN,NaN
2014-11-12T09:30:00-05:00,20.26,20.36,20.24,20.36,NaN,NaN
2014-11-13T09:30:00-05:00,20.4,20.42,20.3,20.34,NaN,NaN
2014-11-14T09:30:00-05:00,20.42,20.44,20.42,20.44,NaN,NaN
2014-11-17T09:30:00-05:00,20.59,20.59,20.36,20.41,NaN,NaN
2014-11-18T09:30:00-05:00,20.6,20.6,20.6,20.6,NaN,NaN
2014-11-19T09:30:00-05:00,20.29,20.29,20.29,20.29,NaN,NaN
2014-11-20T09:30:00-05:00,20.12,20.28,20.1,20.28,NaN,NaN
2014-11-21T09:30:00-05:00,20.37,20.37,20.358,20.36,NaN,NaN
2014-11-24T09:30:00-05:00,20.35,20.49,20.35,20.49,NaN,NaN
2014-11-25T09:30:00-05:00,20.52,20.52,20.52,20.52,100,NaN
2014-11-26T09:30:00-05:00,20.53,20.56,20.53,20.56,100,NaN
2014-11-28T09:30:00-05:00,20.54,20.65,20.53,20.59,100,100
2014-12-01T09:30:00-05:00,20.27,20.27,20.27,20.27,66.66666666666667,88.8888888888889
2014-12-02T09:30:00-05:00,20.05,20.05,20.05,20.05,33.33333333333333,66.66666666666667
2014-12-03T09:30:00-05:00,20.09,20.09,20.09,20.09,2.8755936799563404,34.29186455998545
2014-12-04T09:30:00-05:00,20.13,20.18,20.04,20.06,4.240961210661561,13.48329607465041
2014-12-05T09:30:00-05:00,20.19,20.19,20.1,20.11,9.494363856186336,5.536972915601413
2014-12-08T09:30:00-05:00,20.09,20.09,19.68,19.73,6.618770176229991,6.784698414359297
2014-12-09T09:30:00-05:00,19.58,19.78,19.5,19.78,8.050713650023917,8.054615894146748
2014-12-10T09:30:00-05:00,20.04,20.04,19.73,19.73,4.107935578872069,6.25913980170866
2014-12-11T09:30:00-05:00,19.85,19.85,19.77,19.77,7.82620935085373,6.661619526583238
2014-12-12T09:30:00-05:00,19.82,19.82,19.608,19.608,5.028898346354587,5.654347758693461
2014-12-15T09:30:00-05:00,19.64,19.64,19.2799,19.2799,3.7182737719816603,5.524460489729992
2014-12-16T09:30:00-05:00,19.06,19.24,18.95,18.95,5.921189464667501e-16,2.9157240394454162
2014-12-17T09:30:00-05:00,19.12,19.16,19.12,19.16,7.526494874510057,3.748256215497239
2014-12-18T09:30:00-05:00,19.84,19.9,19.84,19.88,40.859828207843385,16.12877436078448
2014-12-19T09:30:00-05:00,20.19,20.19,20.03,20.16,74.19316154117672,40.859828207843385
2014-12-22T09:30:00-05:00,20.35,20.35,20.2467,20.33,100,71.68432991634003
2014-12-23T09:30:00-05:00,20.4,20.4,20.3,20.337,100,91.39772051372557
2014-12-24T09:30:00-05:00,20.65,20.65,20.37,20.37,100,100
